,Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK
148,Kia EV6 Long Range AWD,Battery Electric Vehicle |       77.4 kWh ,5.4 sec,185 km/h,410 km,189.0,950 km/h,All Wheel Drive,5,56000.0,52000.0
149,Mercedes EQS 450+,Battery Electric Vehicle |       107.8 kWh,6.2 sec,210 km/h,640 km,168.0,840 km/h,Rear Wheel Drive,5,106374.0,95000.0
150,Mercedes EQS 580 4MATIC,Battery Electric Vehicle |       107.8 kWh,4.3 sec,210 km/h,610 km,177.0,800 km/h,All Wheel Drive,5,135529.0,115000.0
151,Tesla Model 3 Standard Range Plus,Battery Electric Vehicle |       50 kWh ,5.6 sec,225 km/h,340 km,147.0,680 km/h,Rear Wheel Drive,5,43560.0,40990.0
152,Polestar 2 Standard Range Single Motor,Battery Electric Vehicle |       61 kWh ,7.4 sec,160 km/h,350 km,174.0,450 km/h,Front Wheel Drive,5,46500.0,39900.0
153,Polestar 2 Long Range Single Motor,Battery Electric Vehicle |       75 kWh ,7.4 sec,160 km/h,425 km,176.0,550 km/h,Front Wheel Drive,5,49500.0,42900.0
154,Polestar 2 Long Range Dual Motor,Battery Electric Vehicle |       75 kWh ,4.7 sec,205 km/h,395 km,190.0,510 km/h,All Wheel Drive,5,52500.0,45900.0
155,Volkswagen ID.4 Pure,Battery Electric Vehicle |       52 kWh,10.9 sec,160 km/h,285 km,182.0,410 km/h,Rear Wheel Drive,5,36950.0,32150.0
156,Audi Q4 e-tron 40,Battery Electric Vehicle |       76.6 kWh,8.5 sec,160 km/h,405 km,189.0,500 km/h,Rear Wheel Drive,5,47500.0,44990.0
157,Audi Q4 e-tron 50 quattro,Battery Electric Vehicle |       76.6 kWh,6.2 sec,180 km/h,385 km,199.0,470 km/h,All Wheel Drive,5,53600.0,51370.0
158,Audi Q4 Sportback e-tron 50 quattro,Battery Electric Vehicle |       76.6 kWh,6.2 sec,180 km/h,400 km,192.0,490 km/h,All Wheel Drive,5,55600.0,52870.0
159,Mercedes EQB 350 4MATIC,Battery Electric Vehicle |       66.5 kWh,6.5 sec,160 km/h,340 km,196.0,400 km/h,All Wheel Drive,7,60000.0,50000.0
160,Volkswagen ID.4 GTX,Battery Electric Vehicle |       77 kWh,6.2 sec,180 km/h,400 km,193.0,490 km/h,All Wheel Drive,5,50415.0,55540.0
167,CUPRA Born 150 kW - 62 kWh,Battery Electric Vehicle |       58 kWh,7.3 sec,160 km/h,350 km,166.0,440 km/h,Rear Wheel Drive,5,36770.0,30500.0
168,CUPRA Born 170 kW - 62 kWh,Battery Electric Vehicle |       58 kWh,6.6 sec,160 km/h,345 km,168.0,430 km/h,Rear Wheel Drive,5,39000.0,31500.0
169,CUPRA Born 170 kW - 82 kWh,Battery Electric Vehicle |       77 kWh,7.0 sec,160 km/h,450 km,171.0,550 km/h,Rear Wheel Drive,5,43000.0,42000.0
170,BMW i4 M50,Battery Electric Vehicle |       80.7 kWh,3.9 sec,225 km/h,450 km,179.0,630 km/h,All Wheel Drive,5,69900.0,63905.0
171,Volvo XC40 Recharge Twin Pure Electric,Battery Electric Vehicle |       75 kWh,4.9 sec,180 km/h,340 km,221.0,440 km/h,All Wheel Drive,5,59250.0,49950.0
172,Renault Megane E-Tech Electric,Battery Electric Vehicle |       60 kWh ,8.0 sec,160 km/h,335 km,179.0,480 km/h,Front Wheel Drive,5,38000.0,32500.0
173,Peugeot e-Rifter Standard 50 kWh,Battery Electric Vehicle |       45 kWh ,11.7 sec,135 km/h,200 km,225.0,270 km/h,Front Wheel Drive,7,37590.0,30375.0
174,Peugeot e-Rifter Long 50 kWh,Battery Electric Vehicle |       45 kWh ,11.7 sec,135 km/h,195 km,231.0,260 km/h,Front Wheel Drive,7,42590.0,32455.0
